老军报他二人在洪羊洞丧命,0,老军报他二人在洪洋（呃）洞丧（呃）命，
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,9539101.39145028,0.0
lseh-JinZhongXiang-ShangTianTai.xml_1,寡人喜的是五谷丰登。,9555244.008907286,0.08333333333333333
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,9571817.828434728,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_10,屈死的怨鬼魂休要怨（呐）咱，,9595077.443698129,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,9608399.130331194,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,9622905.353441142,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_1,我也曾平服了塞北西东。,9627079.438432753,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,9631245.904554695,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,9687880.21210421,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,9694789.870712103,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,9707425.08081643,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,9732048.6821493,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,9747600.523846647,0.08333333333333333
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,9751116.667386131,0.0
lsxp-JiangShenEr-SanJiaDian.xml_4,杨林与我来争斗，,9753781.99414362,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,9777346.834260445,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,9779029.208149942,0.08333333333333333
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,9790227.630988644,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,9790227.630988644,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,9802980.68263695,0.0
lsxp-ZouYingLong-DaYanSong.xml_7,站立在殿角用目来观定，,9803604.525419075,0.08333333333333333
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,9805309.554637445,0.08333333333333333
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,9806610.373976499,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,9816069.959884621,0.08333333333333333
lseh-YiLunMing-ZhuoFangCao-1.xml_20,贼好比蛟龙未生鳞甲，,9823940.977308972,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,9852118.490542961,0.0
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,9866405.088905076,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,9867354.124027317,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,9871078.312566048,0.0
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,9871597.797975758,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,9872450.961091002,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,9874223.993879415,0.08333333333333333
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,9874223.993879415,0.08333333333333333
lsxp-JiangShenEr-SanJiaDian.xml_8,实难舍街坊四邻与我的好朋友，,9883858.693605658,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,9885535.97544567,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,9892806.515460389,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,9893894.75669821,0.08333333333333333
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,9896692.932104003,0.0
lsxp-ZouYingLong-DaYanSong.xml_5,他言道严嵩老贼害他的举家一满门。,9899177.273809731,0.16666666666666666
lseh-ZiNaRi-HongYangDong.xml_4,二次（喏）里命孟良番营来进，,9902738.50156249,0.16666666666666666
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,9912781.967890961,0.0
