左手拉住了李左车,0,左手拉住了李左车，
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,6467923.585922878,0.0
lsxp-WoBenShi-KongChengJi-1.xml_8,闲无哇事在敌楼哇我亮（呃）一亮琴哪音，,6493914.289610888,0.0
lseh-XiRiLi-BaoLianDeng.xml_10,首阳山前冻饿死（喏）。,6506326.6036673505,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,6520285.618846706,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,6520507.021555431,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,6529352.709932813,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,6530742.260062956,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,6533617.345422861,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_24,执宝剑将贼的（呀）头割下，,6540298.555580064,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,6544819.347987742,0.0
sdxp-SuLongWei-WuJiaPo.xml_16,送与大嫂把家安。,6550327.178888902,0.0
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,6550617.264606649,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,6551112.370612851,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,6571856.226024586,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,6572710.846744499,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,6572710.846744499,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,6576004.35567304,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_5,右手再把栾布拉。,6579814.822747794,0.25
