因此上发配到登洲,0,因此上发配到登州。
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,4563208.227585617,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,4563529.427124465,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,4575187.581296054,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,4577474.974175675,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,4577474.974175675,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,4583961.14669843,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_6,三人同把那鬼门关上爬，,4584906.709571534,0.125
lsxp-CiShiJian-HuaiHeYing-1.xml_1,胡言乱语怎瞒（呐）咱。,4586634.437176721,0.0
lsxp-ZiGuDao-HuangHeLou.xml_3,二将军保架过长江。,4592189.315886853,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,4620424.657120485,0.0
lsxp-ZheYiFeng-DingJunShan.xml_9,到明天午时三刻要成功劳。,4621229.010017795,0.125
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,4633558.831464482,0.0
lsxp-WeiCengKai-QiYuanBao.xml_7,借宿一宵起祸殃。,4660843.087550458,0.0
lsxp-WeiCengKai-QiYuanBao.xml_2,家住在南阳太平庄，,4662583.347516853,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,4662690.667920655,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,4664668.433888509,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,4673537.216566025,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,4673537.216566025,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_0,听他言听得我心（呐）惊胆怕，,4680262.78494459,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_0,听他言吓得我心（呐）惊胆怕，,4680262.78494459,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,4683994.988372713,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,4687744.839777121,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_10,千言万（哪）语她不肯，,4711717.305176422,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,4743993.021899163,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,4745363.367688215,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_26,要相逢陈非是梦（兀）里团圆。,4747183.482747468,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,4754483.389896816,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_34,寻短（哪）哎见爹娘（兀）！,4760535.83130654,0.0
