杨林与我来争斗,0,杨林与我来争斗，
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,13117848.314406315,0.14285714285714285
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,13142896.805402923,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,13153695.764125358,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,13165131.47974075,0.2857142857142857
lseh-XinZhongYou-WenZhaoGuan.xml_5,为何几日他不言，,13233032.970331252,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,13290332.762926301,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,13356529.836813511,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,13371055.68905684,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,13372655.638208492,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,13396022.516202077,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,13412521.039684251,0.2857142857142857
lseh-XiRiLi-BaoLianDeng.xml_3,传口诏命次子即位为君，,13443809.059019756,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,13470058.48355938,0.2857142857142857
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,13470058.48355938,0.2857142857142857
lsxp-TingTaYan-ZhuoFangCao-2.xml_1,背转身自埋怨我自（呃）已做差。,13508784.559852518,0.14285714285714285
lsxp-TingTaYan-ZhuoFangCao-1.xml_1,背转身只埋怨我自（呃）己作差，,13508784.559852518,0.14285714285714285
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,13523097.532211099,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,13543913.912751285,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,13546332.245243317,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-2.xml_8,俺伍员好一似丧家犬，,13547900.084623452,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,13576482.56050177,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,13634705.797794115,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_10,屈死的冤鬼魂休要怨咱，,13686800.299257664,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,13691563.449699251,0.0
lsxp-WoBenShi-KongChengJi-1.xml_6,周文王访姜尚周室大振，,13700074.294451207,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,13728089.773565156,0.14285714285714285
lsxp-ZheYiFeng-DingJunShan.xml_3,大小儿郎听根苗，,13765009.007576574,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,13765873.803963626,0.0
