我好比鱼儿吞了钩线,0,我好（呃）比鱼儿吞了钩线，
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,9292744.217832917,0.1111111111111111
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,9299854.333509712,0.1111111111111111
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,9314963.807382062,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,9330657.12577823,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,9336257.408566248,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,9336815.430996101,0.2222222222222222
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,9351390.48395572,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,9358471.930011855,0.1111111111111111
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,9365489.731976273,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,9383760.237157578,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,9384775.002026357,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,9399768.124259356,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,9417959.792962212,0.2222222222222222
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,9457485.081471061,0.1111111111111111
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,9490789.256438347,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,9493866.32862887,0.0
lseh-XiRiLi-BaoLianDeng.xml_1,伯夷叔齐二大贤人，,9495429.265283478,0.0
lseh-XiRiLi-BaoLianDeng.xml_10,首阳山前冻饿死（喏）。,9510508.35657689,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,9517486.383557139,0.1111111111111111
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,9527230.013138862,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,9543413.180776058,0.1111111111111111
