儿想娘亲难叩首,0,儿想娘亲难叩首，
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,8336584.073269176,0.2857142857142857
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,8379736.341959787,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,8427628.716259575,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,8441387.241388904,0.14285714285714285
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,8447623.92511821,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,8465324.723264208,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_6,舍子搭救忠（呃）良的后，,8469063.518568275,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,8484136.628774263,0.0
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,8488311.650270399,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,8494313.926098704,0.0
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,8498018.89811638,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,8523633.258682705,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,8523633.258682705,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,8535064.424952822,0.14285714285714285
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,8571996.10414702,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_8,一家人倶丧在宝剑之（喏）下，,8572535.763692075,0.0
lsxp-JiangShenEr-SanJiaDian.xml_8,实难舍街坊四邻与我的好朋友，,8580988.342939828,0.14285714285714285
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,8589447.144422174,0.14285714285714285
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,8595893.062344646,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,8613741.386500759,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,8613828.137855971,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,8615351.004528007,0.0
