右手再把栾布拉,0,右手再把栾布拉。
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,7327891.054820047,0.14285714285714285
lsxp-WoZhuYe-ZhuiHanXin.xml_2,怀王也曾把旨降，,7351210.547811178,0.14285714285714285
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,7355263.715468356,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,7361777.908889085,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_5,后进咸阳扶保在朝纲。,7362940.267182559,0.0
lsxp-ZouYingLong-DaYanSong.xml_6,我劝顽童你休流泪，免悲声，邹老爷就是尔的报仇人。,7370343.465501265,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,7421320.374169883,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,7435411.371350833,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_6,一连几天我的眉不（呃）展，,7437793.219246532,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,7440800.236257377,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,7483280.284571368,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,7496725.636725324,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_2,杨家将令鬼神惊。,7537925.82753247,0.0
lseh-YangYanZhao-PengBei.xml_3,又只见老爹爹瞌睡沉沉。,7553009.243282825,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,7587100.122729051,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,7615858.365530243,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,7622500.21700349,0.0
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,7623604.302152084,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,7628435.979787951,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_4,怕将（呃）来老天爷无（哇）有果报，,7635089.270828962,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,7655590.049091248,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,7660686.8251041,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,7672716.398857531,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,7673520.310361792,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,7678574.323102218,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,7700935.983901275,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,7702996.122861732,0.0
sdxp-SuLongWei-WuJiaPo.xml_7,大嫂说话礼不端，,7713567.828541818,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,7775331.678924294,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,7777768.441519412,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,7785940.597030602,0.0
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,7792613.621203768,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,7818476.53942784,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,7842656.401760828,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,7861331.654040718,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,7861536.899191043,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,7863487.409097109,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,7885111.912097971,0.0
