深宫无处不飞花,24,深宫无（哇）处不飞花，
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,5163574.773005026,0.14285714285714285
lseh-WeiGuoJia-HongYangDong-3.xml_0,为国家哪何曾半日闲空，,5164731.370394482,0.0
lseh-XiRiLi-BaoLianDeng.xml_7,兄（呃）推弟来两不能够担承。,5165327.384690572,0.14285714285714285
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,5165773.085168361,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,5167721.835501652,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,5170310.243614078,0.0
lsxp-WoBenShi-KongChengJi-1.xml_9,我面前缺少个知呃音的人。,5175540.282820098,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,5184441.831274963,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,5184938.4971886985,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,5189453.117665311,0.0
sdxp-DangNianHan-SanJiZhang.xml_4,仙女嫁的又是何人？,5212533.540435566,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,5215572.546883047,0.14285714285714285
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,5223502.537924226,0.14285714285714285
lseh-WeiGuoJia-HongYangDong-3.xml_2,官封到节度史（喏）皇王恩重，,5223977.419714944,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,5241776.616481642,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,5246576.133770256,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,5249163.8463415075,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_7,（啊）生死二字（喏）且由他。,5268122.454352578,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,5292523.418823527,0.0
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,5296032.151732226,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,5303548.231241838,0.14285714285714285
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,5337455.578910586,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,5346299.164764878,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,5350303.473877909,0.0
