儿行千里母担忧,0,儿行千里母担忧。
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,7491210.201180966,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,7495683.643609777,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,7512280.476123742,0.0
sdxp-SuLongWei-WuJiaPo.xml_19,是烈女就该在家院，,7512455.581682247,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,7539814.742698154,0.0
lsxp-YiShiWu-YuCangJian.xml_5,信用无极狗奸谗。,7555712.595412455,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,7555867.72458328,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,7557235.518432923,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,7564354.475690947,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,7570392.052958329,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,7573262.862822764,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,7592869.868826334,0.0
