尊一声过往宾朋听从头,0,尊一声过往的宾朋听从头：
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,5332587.022303959,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,5336272.827545784,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,5338381.177136838,0.1
lsxp-ZuoRiLi-YuanMenZhanZi.xml_5,老娘亲再讲情儿自刎头来。,5346704.42056994,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,5352000.3612041855,0.1
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,5360561.980310659,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,5366345.450942965,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,5372452.533011892,0.1
lsxp-DaHeYi-SiLangTanMu.xml_10,火堪寨上有家门。,5379380.859751902,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,5384734.446981694,0.1
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,5386833.682700123,0.1
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,5386833.682700123,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,5396801.4462640295,0.1
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,5397787.082681803,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,5400899.536870787,0.1
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,5417222.390218156,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,5419425.493176671,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_0,听他言听得我心（呐）惊胆怕，,5420822.212279095,0.1
lsxp-TingTaYan-ZhuoFangCao-2.xml_0,听他言吓得我心（呐）惊胆怕，,5420822.212279095,0.1
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,5425838.572708144,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,5430418.775409696,0.1
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,5439879.396325799,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,5444513.724522617,0.0
