因此上臣的病重加十分、千岁爷呀！,0,因此上臣的病重（呃）加十分、千岁爷呀！
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,9949986.304868137,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,9953921.235210238,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,9957968.725753237,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,9962532.895689946,0.0625
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,9962532.895689946,0.0625
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,9991666.748305086,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,9994905.710143177,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,10007299.10751963,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,10007299.10751963,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,10031044.352623228,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,10034050.591014216,0.0625
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,10039680.683117267,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_5,他将我隐藏在后花园。,10042021.38455979,0.0
lsxp-YiShiWu-YuCangJian.xml_3,靠山绿（哇）水常在面前。,10045175.284286551,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,10047068.875642689,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,10054545.333910534,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,10069905.026620524,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_0,为国家哪何曾半日闲空，,10080218.47333135,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,10111580.401581803,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_1,丢下了年幼儿好不伤情。,10114956.026089855,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_2,官封到节度使（喏）皇王恩重，,10116356.417613735,0.0625
lsxp-WoBenShi-KongChengJi-2.xml_9,我面前却少个知（呃）音的人。,10128706.1891364,0.0625
