先帝爷下南阳御驾三请,0,先帝（呀）爷下南阳（呃）御驾三（呃）请，
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,9040911.80799879,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,9066287.806571042,0.1
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,9071131.566489182,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,9095987.240440987,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,9097997.15277808,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,9108154.831996575,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,9126367.428683016,0.0
sdxp-DangNianHan-SanJiZhang.xml_1,登台拜帅是韩信，,9176549.843964782,0.0
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,9177259.852573104,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,9207243.54975617,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,9215676.808191739,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,9226251.758156182,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,9229738.136675868,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_0,为国家哪何曾半日闲空，,9231360.093234632,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,9233211.880749473,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,9234163.804123625,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,9238049.555614457,0.0
lseh-YangYanZhao-PengBei.xml_0,杨延昭奉父命巡查大营，,9247554.478786554,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,9252154.290234728,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,9256461.868814254,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,9260024.489713414,0.0
sdxp-WoHeNi-SiLangTanMu.xml_12,无有令箭怎过关。,9271238.898473755,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_37,我不杀平王我的心怎甘（哪）。,9285303.105321048,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,9298470.810782768,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_1,陈宫心（呐）中乱如麻，,9300889.253770776,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,9304665.21609552,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,9313826.270643076,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,9322233.39846759,0.1
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,9325035.328350127,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,9343576.966446625,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,9354064.884585556,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_10,千言万（哪）语她不肯，,9372713.31289469,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,9386868.397931824,0.3
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,9407450.306637697,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,9436432.275050117,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_0,为国家那何曾半日闲空，,9452084.070828084,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_6,这时候我只得暂且忍耐在心下，,9457162.66632369,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,9466281.093725115,0.0
lseh-JinZhongXiang-ShangTianTai.xml_2,文凭着邓先生策划有准，,9475289.997060373,0.1
lsxp-TingTaYan-ZhuoFangCao-2.xml_6,这时候我只得暂且忍耐在心下，,9476414.71058643,0.1
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,9476680.372103259,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,9493556.170566227,0.0
lsxp-DaHeYi-SiLangTanMu.xml_8,问我一言答一声。,9493776.781156674,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,9502017.79829263,0.1
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,9503403.718177881,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,9504224.680104706,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,9507662.104847686,0.0
lseh-LaoZhangBu-WuPenJi.xml_1,我有言来你是（喏）听。,9509391.338799072,0.0
sdxp-SuLongWei-WuJiaPo.xml_2,王丞相是我的主婚人（哪）。,9522204.987184817,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,9564360.818148704,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,9568550.391138464,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,9576450.085923871,0.0
