实难舍街坊四邻与我的好朋友,0,实难舍街坊四邻与我的好朋友，
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,7589974.828243074,0.0
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,7605095.177532857,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,7686860.056726104,0.07692307692307693
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,7688273.245198531,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,7695938.271927081,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,7699362.331751815,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,7712012.200241923,0.15384615384615385
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,7715982.173987993,0.07692307692307693
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,7715982.173987993,0.07692307692307693
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,7725909.566842168,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_14,朝臣待漏五更寒。,7746647.507619567,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,7794021.705856343,0.0
lsxp-WoBenShi-KongChengJi-2.xml_3,算就了汉家的业鼎足（呃）三分。,7803321.929335859,0.07692307692307693
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,7809583.749007422,0.07692307692307693
lsxp-ZouYingLong-DaYanSong.xml_10,他本是我朝中上欺天子下压臣谋朝篡位卖国的奸贼他名叫严嵩，,7812563.78447738,0.15384615384615385
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,7814581.875424881,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,7822259.800945411,0.07692307692307693
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,7845879.956521962,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,7853472.897373738,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,7857106.504193378,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,7897617.239643386,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,7905453.333804868,0.0
lsxp-JiangShenEr-SanJiaDian.xml_10,娘生儿连心肉，,7933129.039723513,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_14,悔不该把家属一（呀）旦撇下，,7934981.774330075,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,7949605.312095807,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_19,安眠好似并底之蛙，,7964563.889305987,0.07692307692307693
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,7965811.897570037,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,7978231.184928152,0.07692307692307693
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,7979747.66216746,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,7992820.195292268,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_4,左手拉住了李左车，,7996494.107242803,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,8002638.352946548,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,8020429.845632328,0.15384615384615385
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,8029356.48189673,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,8033332.128066195,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,8046816.642075686,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,8057634.227763887,0.15384615384615385
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,8057634.227763887,0.15384615384615385
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,8062644.434771248,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,8070203.993872778,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,8086135.190999627,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_20,贼好比蛟龙未生鳞甲，,8096340.033884769,0.07692307692307693
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,8100934.755283317,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,8101252.131624125,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,8104339.919330143,0.07692307692307693
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,8113164.498478967,0.07692307692307693
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,8119761.089369949,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,8133879.172875883,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,8136687.079483015,0.0
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,8139461.845431812,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,8155355.288316226,0.07692307692307693
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,8190434.786693267,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,8197031.975578429,0.0
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,8198813.716920104,0.07692307692307693
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,8215401.5661852425,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,8226129.496801352,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,8230460.82025794,0.07692307692307693
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,8234601.990149058,0.07692307692307693
lseh-YangYanZhao-PengBei.xml_5,又恐怕惊动了年迈之人。,8241608.538096117,0.0
