二不是歹人把城偷,0,二不是歹人（呐）把城偷。
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,5868806.989385405,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,5877981.323388903,0.125
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,5902871.798369592,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,5902871.798369592,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,5932663.3733608145,0.125
lsxp-ZouYingLong-DaYanSong.xml_7,站立在殿角用目来观定，,5936042.647086415,0.0
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,5971083.299760705,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,5971356.966928069,0.125
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,5973756.6098319795,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,5980856.974210968,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_3,悔不该随他人到吕家。,5986928.514623255,0.25
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,5999077.747726803,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_7,拔出剑将他的满门杀。,6002213.747927944,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,6037116.474907964,0.125
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,6039229.995683461,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,6043574.327055093,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,6051677.539622054,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,6074628.679928448,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,6075306.092963326,0.0
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,6088081.300550196,0.0
