因此上发配到登州,0,因此上发配到登州。
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,5736400.721705172,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_0,一轮明月照窗前，,5738395.345069252,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,5746614.9615926575,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,5750905.527409082,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,5767532.516765796,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,5768920.224834958,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,5780739.494861291,0.0
lsxp-JianMaSu-ZhanMaSu.xml_2,大胆不听我的话，,5797889.043399541,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,5799054.805420624,0.125
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,5810353.216405398,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,5816621.856915799,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,5816709.221495074,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,5818634.805713972,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,5821401.3523662165,0.0
lsxp-WoBenShi-KongChengJi-2.xml_6,周文王访姜尚周室大振，,5832909.786896791,0.0
lsxp-DaHeYi-SiLangTanMu.xml_2,杨家将令鬼神惊。,5839047.829219262,0.0
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,5840850.86170234,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,5843356.981192235,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,5849914.086706277,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,5852898.893940287,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,5853419.983440014,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,5863443.515532697,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,5872850.699268877,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,5883369.759525074,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,5885166.3506596275,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,5888543.616159211,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,5890730.442709163,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,5891020.259285943,0.125
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,5902501.052334967,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,5915119.192043801,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_3,三百余口命赴幽冥。,5922490.383079949,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,5930995.415197628,0.125
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,5938416.325230754,0.125
