眼见得红日坠落在西山后,19,眼见得红日坠落在西山后，
lsxp-JiangShenEr-SanJiaDian.xml_8,实难舍街坊四邻与我的好朋友，,9148174.966217808,0.0
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,9155277.264975974,0.09090909090909091
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,9155341.063303437,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,9170718.378546866,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,9179887.009175643,0.0
lseh-YangYanZhao-PengBei.xml_3,又只见老爹爹瞌睡沉沉。,9181816.261096152,0.09090909090909091
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,9206835.209997095,0.0
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,9206871.987459973,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,9219197.197505733,0.0
lsxp-WeiCengKai-QiYuanBao.xml_7,借宿一宵起祸殃。,9221702.69769495,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,9223003.832387194,0.0
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,9223413.666297898,0.09090909090909091
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,9236116.95104206,0.09090909090909091
lsxp-ZouYingLong-DaYanSong.xml_10,他本是我朝中上欺天子下压臣谋朝篡位卖国的奸贼他名叫严嵩，,9238756.538426327,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,9238961.45575786,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,9255536.346540483,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,9279550.729667159,0.18181818181818182
lseh-YiLunMing-ZhuoFangCao-1.xml_6,又谁知此贼的疑心（呐）太（呀）大，,9303839.218264062,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,9318365.976013055,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,9327237.69266863,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,9350773.270445786,0.0
lsxp-JiangShenEr-SanJiaDian.xml_2,一不是响马与贼寇，,9351867.956970476,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,9357356.435613377,0.09090909090909091
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,9398382.379912144,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,9404790.46414639,0.09090909090909091
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,9405729.862474369,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,9406870.74878553,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,9418586.533818886,0.0
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,9441715.706586279,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,9444812.682961458,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,9445290.549172917,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,9455085.02286548,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,9489273.520140318,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,9554235.73324532,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,9560953.439892625,0.09090909090909091
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,9561122.115848176,0.0
