娘想儿来泪双流,3,娘想儿来泪双流。
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,6362569.283513812,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,6364989.2936028,0.14285714285714285
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,6374223.657102156,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,6389098.705867847,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,6389098.705867847,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,6389826.255299347,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,6391400.99354232,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,6399060.623089291,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,6401227.679430099,0.0
sdxp-SuLongWei-WuJiaPo.xml_18,我与你露水的夫妻就过几年（呐）。,6403996.128381373,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,6433636.83847732,0.14285714285714285
