害得儿夫犯焦急,0,害得儿夫犯焦急；
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,10208759.166446056,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,10215118.349631565,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,10222627.16421584,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,10236966.841061439,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,10238460.271354847,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,10252861.211425023,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,10266006.094219968,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,10285094.191327216,0.0
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,10305063.369148998,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,10321618.4381283,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,10372692.105289994,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,10407452.03888445,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,10417761.317820571,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,10419865.261431847,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,10429600.154465519,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,10455954.069662215,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,10464433.508621383,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,10467050.433699388,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,10490454.020939928,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,10516978.441519391,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,10558605.11917204,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,10559902.779370232,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,10564603.991549466,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,10582027.932394315,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,10584425.036265725,0.2857142857142857
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,10598386.756441072,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,10608155.269868327,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,10635655.896273367,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,10712609.759639464,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,10722378.444551682,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,10740004.175608888,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,10785839.237923695,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,10815634.919920733,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,10822845.910000641,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,10868224.87383466,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,10911147.389506567,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,10925841.431456184,0.14285714285714285
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,10933895.643156679,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,11000627.899885368,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,11001916.736815846,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,11005898.06590852,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,11100399.495326953,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,11183187.971409285,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,11183996.871813916,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,11185393.411757657,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,11229649.197790142,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,11254990.932812253,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,11272111.979589807,0.14285714285714285
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,11272950.315154513,0.14285714285714285
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,11273956.37949975,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,11297028.146964876,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,11300167.781049317,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,11311015.488560125,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,11344050.670951994,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,11360336.053683946,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,11379229.703152906,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,11430543.464580646,0.0
