在潼台被贼擒性命好险,0,在潼台被贼擒性命好险，
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,11380388.889401641,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,11381948.444264784,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,11387717.541891102,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,11430814.34251179,0.0
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,11473625.312842425,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,11495174.776216727,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,11504343.7534886,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,11569330.266960464,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,11604329.384584827,0.0
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,11611411.371849112,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,11658595.589350427,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,11670905.659819216,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,11671515.459067136,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,11678796.039967207,0.1
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,11683753.602463409,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,11693366.436657459,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,11705854.983897509,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,11707274.697052341,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,11713081.462758545,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,11734108.803877212,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,11747725.455724029,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,11771439.24120792,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,11795455.527036762,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,11801202.786499828,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,11926421.76157932,0.1
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,11926479.275808332,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,11944835.147859475,0.0
