但愿得八主贤王从中周旋，早成美眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山,1,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,11610738.065733992,0.08333333333333333
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,11610984.296810793,0.08333333333333333
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,11614949.185377229,0.08333333333333333
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,11660770.41554909,0.1111111111111111
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,11691055.696837904,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,11697640.675601427,0.1111111111111111
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,11759710.750596058,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,11819824.739959929,0.1111111111111111
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,11836577.805549929,0.08333333333333333
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,11861273.2646206,0.08333333333333333
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,11877323.860944469,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,11897940.482728554,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,11916874.480750149,0.08333333333333333
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,11930788.895080777,0.1111111111111111
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,11946079.346149374,0.1388888888888889
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,11966883.476816265,0.05555555555555555
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,11968630.527261952,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,11996981.312998151,0.05555555555555555
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,12035740.589503482,0.05555555555555555
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,12046155.511331847,0.027777777777777776
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,12057986.576680619,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,12059833.22379718,0.1111111111111111
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,12074729.768202214,0.1111111111111111
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,12088167.286317136,0.05555555555555555
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,12143786.673082756,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,12152026.055276508,0.08333333333333333
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,12162724.088026304,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,12164939.029998703,0.027777777777777776
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,12172126.279251302,0.027777777777777776
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,12177628.618723447,0.08333333333333333
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,12182673.322910193,0.027777777777777776
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,12192665.060357844,0.1111111111111111
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,12211352.892997002,0.0
