跟随着小红娘就能见着她,237,那就是来了我西厢带路的小红娘。
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,8737892.9534791596,0.09090909090909091
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,8754508.2794394493,0.09090909090909091
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,8775507.8097862694,0.09090909090909091
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,8780425.3732495401,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,8797642.3777742982,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,8864901.9942434169,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,8888256.7281642556,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,8895958.6832060292,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,8917856.0873124208,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,8923582.0435881596,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,8927132.8865057714,0.09090909090909091
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,8944943.8975842502,0.09090909090909091
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,8970146.2442374993,0.09090909090909091
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,9029205.6086960733,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,9050976.2592740189,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,9084435.6167010553,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,9087074.4340828173,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,9125187.51368545,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,9142814.3426302094,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,9151542.3744659517,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,9183574.8519456889,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,9195792.4451897591,0.18181818181818182
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,9204282.9408686142,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,9225245.3171880096,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,9353889.6441547833,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,9365127.7784684226,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,9374159.4304371066,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,9382389.3647888564,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,9386788.5640500989,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,9408081.4767525028,0.36363636363636365
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,9431027.3703201953,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,9439361.8150714692,0.09090909090909091
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,9445709.7448960654,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,9449281.2979461737,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,9492732.5814513098,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,9500739.6759569161,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,9501347.3873716723,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,9512738.1083649043,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,9582382.2046090662,0.0
