帝王家深宫怨似水流年,1,帝王家深宫怨似水流年。
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,8358048.9910928179,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,8364998.8264037007,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,8383532.3448408907,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,8389984.9470278863,0.2
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,8432898.3471620027,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,8437156.6790279709,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,8437435.6352535803,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,8447263.8261124082,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,8474422.3268327769,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,8497908.2188831884,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,8505318.3285714611,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,8523611.2566503547,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,8528654.4973025639,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,8532470.9558003247,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,8532795.7949882243,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,8647133.3615450356,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,8653348.3854721766,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,8668981.588746652,0.0
daxp-ZhiJianTa-WangJiangTing.xml_6,低下头心生计，,8693084.7946968935,0.0
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,8693172.6154241022,0.1
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,8696668.5608157907,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,8706177.310172122,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,8724849.5981627461,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,8842835.7870235555,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,8846270.7127504498,0.1
