皓月当空,0,皓月当空，
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,11888457.816521538,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,11911456.40654001,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,11946852.495360989,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,11993881.457080597,0.25
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,12007164.67893799,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,12013078.578173,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,12020312.760537934,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,12112588.272656366,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,12172651.648072053,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,12179196.428661762,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,12321347.963042362,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,12323066.641858261,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,12362712.994923921,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,12425288.181051882,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,12429725.178966817,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,12481457.166033346,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,12531260.858767167,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,12546582.141692311,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,12633594.570242308,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,12655677.241734706,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,12656452.865378521,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,12707567.937185509,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,12753503.994377129,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,12781374.888504611,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,12785085.345043192,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,12808350.536662187,0.0
