乾坤分外明,0,乾坤分外明，
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,10007577.067740638,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,10014388.234589742,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,10017335.607901702,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,10035679.709445393,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,10054560.375380831,0.2
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,10073816.604276584,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,10083218.298583658,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,10084158.002285602,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,10084194.581768226,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,10102045.760424852,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,10132427.172114141,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,10174010.208157619,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,10186895.240625165,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,10245845.354002584,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,10263666.43302431,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,10330646.983353889,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,10341256.210802397,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,10360390.042591162,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,10364687.749137921,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,10433530.41131857,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,10474535.547682147,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,10486746.33698884,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,10504556.644021932,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,10513785.427548027,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,10513785.427548027,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,10520624.297695519,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,10536603.373026351,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,10536684.606232943,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,10629063.652704768,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,10636814.601660565,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,10653617.289081063,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,10673924.301514205,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,10678614.360630617,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,10681311.255014669,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,10686934.880680246,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,10711457.540781792,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,10738976.244021917,0.0
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,10761370.917692272,0.2
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,10779095.283201046,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,10781600.016233427,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,10874890.260581721,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,10892344.406843696,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,10896378.043256629,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,10908943.922949268,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,10926177.615880689,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,10996885.156738391,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,11022628.045232128,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,11069125.106368776,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,11109774.696168592,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,11112010.581944939,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,11153756.36358715,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,11179477.397996979,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,11197062.524345739,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,11204627.473277859,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,11299166.360333486,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,11345614.334238844,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,11366978.419359108,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,11387881.816378335,0.2
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,11440145.757504199,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,11482124.808062488,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,11484163.969084404,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,11511938.085531265,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,11531417.195726462,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,11540250.357609088,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,11568817.864587514,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,11644979.469237538,0.2
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,11703166.687964987,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,11750795.037378972,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,11805518.391087467,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,11834227.682488095,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,11841809.97187864,0.0
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,11895083.969845794,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,11897826.371725267,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,11925386.1102811,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,11976078.55873959,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,12094812.773501461,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,12109502.134296978,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,12126341.441090526,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,12134621.50499969,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,12149842.091264624,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,12200697.818303164,0.2
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,12205877.291887617,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,12242046.84248751,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,12327306.455598958,0.0
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,12361235.361152157,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,12392431.789467482,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,12409940.806662876,0.0
