菩提树檐葡花千枝掩映,0,菩提树薝卜花千枝掩映，
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,8796261.1913092881,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,8818616.3700769898,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,8832053.6204887256,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,8866970.6470746007,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,8879168.0235723313,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,8893431.5372444186,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,8895140.4877687097,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,8905170.8107557856,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,8919666.8247249052,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,8929517.4565342646,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,8935561.8545712363,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,8942663.4340207931,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,8970007.4777275473,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,8995821.6449456755,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,8996894.3495970815,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,8997769.308889579,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,9004152.5000608712,0.0
