想当年桃花马上威风凛凛,0,想当年桃花马上威风凛凛，
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,9580783.7869605254,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,9583074.4571932387,0.09090909090909091
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,9585139.4161156006,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,9591825.1154888365,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,9686753.7042507846,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,9710316.6356789339,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,9714468.9618471153,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,9716178.8405568711,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,9754098.9155949056,0.09090909090909091
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,9769786.2959299535,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,9787011.4390297513,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,9795074.5219232887,0.09090909090909091
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,9801981.5721981563,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,9836407.2477448545,0.09090909090909091
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,9863268.8246050142,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,9867973.6029566247,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,9888743.4835955054,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,9911412.0340649039,0.09090909090909091
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,9924367.2487450764,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,9937105.6161377151,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,9962519.6316354945,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,9982759.2381597236,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,10000841.813407378,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,10029208.814557333,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,10052763.25356466,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,10064600.948894663,0.09090909090909091
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,10065801.802359724,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,10080780.809891149,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,10089739.789038233,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,10114238.348110983,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,10137209.601004535,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,10170811.108704256,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,10239113.193840949,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,10248530.445375903,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,10256410.375665007,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,10260058.775734453,0.09090909090909091
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,10281893.514200976,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,10319183.554757647,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,10331705.882359169,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,10383769.90718843,0.09090909090909091
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,10423751.540256262,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,10466337.903393378,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,10466886.536518337,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,10468718.035149641,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,10495136.627399001,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,10519171.643876323,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,10528034.589078952,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,10600529.800412763,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,10639444.45247262,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,10656524.668406596,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,10665933.787642097,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,10841549.260150827,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,10843371.550177544,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,10844684.889399631,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,10978816.916071746,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,10994632.990758687,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,11027359.595664224,0.18181818181818182
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,11037362.665048828,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,11038547.674786652,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,11085170.770441482,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,11132717.616414683,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,11142696.021980001,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,11217153.989869598,0.09090909090909091
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,11217234.577183062,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,11234088.418796659,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,11351315.369470868,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,11376326.603625558,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,11402538.021765549,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,11437656.065044828,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,11585119.028040539,0.0
