隔帘只见一花轿,0,在隔帘只见这一花轿，
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,10556825.069994809,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,10578146.849968011,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,10583995.90602568,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,10592472.643333232,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,10594292.03564588,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,10611077.834787291,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,10655727.07061084,0.14285714285714285
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,10708833.597679222,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,10722348.675222533,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,10814992.424117185,0.14285714285714285
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,10835484.001759328,0.14285714285714285
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,10925042.034220064,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,10935491.351572845,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,10945739.744282214,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,10984791.803791394,0.14285714285714285
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,11021356.735763075,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,11031476.061429407,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,11031476.061429407,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,11036239.875074293,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,11038926.622073554,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,11056559.453967897,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,11075596.03102106,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,11078300.898588577,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,11085060.815507645,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,11147910.52358551,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,11152089.721036104,0.14285714285714285
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,11168658.137385216,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,11173701.834761649,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,11181612.961213894,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,11210247.848096518,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,11235953.188937727,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,11249719.185778027,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,11253085.665577097,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,11269530.231977355,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,11271942.906778494,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,11274803.10523002,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,11286273.601117671,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,11307311.109997489,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,11319880.092128154,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,11320140.091367852,0.14285714285714285
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,11332745.000181798,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,11334283.145719407,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,11342607.909073379,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,11351380.112476017,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,11362243.995548178,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,11421417.381889524,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,11436189.09921702,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,11453614.790867742,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,11462044.873679034,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,11464908.325056499,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,11488556.633211307,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,11508087.168036904,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,11520419.828846734,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,11534345.665955015,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,11546573.870239522,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,11555348.447469041,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,11579259.641777886,0.14285714285714285
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,11604779.727820121,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,11614414.63859155,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,11673220.998263381,0.14285714285714285
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,11676020.248094568,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,11678564.866867101,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,11680203.696650678,0.0
