叫张生隐藏在棋盘之下,13,叫张生隐藏在棋盘之下，
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,9447057.3147156537,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,9454624.3334893994,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,9454811.8709358834,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,9455976.2103690039,0.2
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,9466160.1317832451,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,9469632.5981794335,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,9484521.3566315137,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,9495507.4678504989,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,9506441.2986645345,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,9514720.8017069437,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,9551938.2188918199,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,9560160.3292943891,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,9588782.2458685413,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,9590183.1133466978,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,9592704.5821514428,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,9619360.9437301308,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,9621592.2815832701,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,9629811.7875819579,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,9690029.5549435541,0.0
