春秋亭外风雨暴,1,春秋亭外风雨暴，
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,7552397.1297044521,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,7576286.1367351487,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,7584214.134453523,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,7588646.8745541805,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,7619876.0013002651,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,7649269.3954768581,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,7653924.0165987825,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,7676958.0631541144,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,7704528.9495987985,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,7706419.2548910715,0.14285714285714285
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,7720595.6987932706,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,7732402.3806311702,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,7759693.7441012729,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,7765727.1508370182,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,7769459.4341140203,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,7780685.9165367614,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,7783874.9193616025,0.14285714285714285
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,7785465.3290730519,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,7813750.2039707433,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,7842130.0515838237,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,7867710.3010969022,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,7872947.2164664669,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,7878256.6688109497,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,7947068.1990154264,0.0
