此时却又明白了,0,此时却又明白了，
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,8402826.0199278351,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,8411668.6621814687,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,8432051.1691411287,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,8535987.6819643043,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,8555850.1519418675,0.14285714285714285
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,8568024.068077676,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,8591837.8474963568,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,8618426.9717820305,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,8625043.606475722,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,8647175.3727856297,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,8662536.9291178901,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,8672002.0452802572,0.14285714285714285
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,8728180.0961920489,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,8732216.0187430549,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,8738986.673828898,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,8754506.3284508325,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,8780296.67553569,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,8782961.8280383274,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,8787246.6523271874,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,8827260.426929757,0.14285714285714285
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,8875035.6211504843,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,8890384.2520982511,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,8894948.0377430897,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,8935795.7794986274,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,8964499.3437644448,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,8969426.5047569815,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,8969426.5047569815,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,8975655.4233936369,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,8994304.4029751103,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,8998435.9681067634,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,9067117.8741948325,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,9071149.8589110319,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,9092961.4278058484,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,9121983.5659857411,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,9137390.9135699105,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,9159890.0881118458,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,9160298.0000275783,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,9187637.7217976023,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,9260322.3531798404,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,9302228.1372067481,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,9316863.2670007516,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,9350392.1457616407,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,9392441.3362575769,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,9420464.8739795238,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,9438909.3759666998,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,9449377.4486999307,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,9470914.590014996,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,9496901.4095043354,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,9504584.3365689516,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,9510064.2746836264,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,9513131.5156880971,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,9549440.526316138,0.0
