但愿得状元郎月老引线,0,但愿得状元媒月老引线，
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,11297603.065996166,0.1
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,11306401.508016448,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,11333264.03005407,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,11337839.553018782,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,11400795.474139107,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,11428987.041006675,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,11430666.620757788,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,11483021.951144036,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,11491162.407858156,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,11514778.79329681,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,11530291.592112036,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,11546701.988050805,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,11658845.662107021,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,11710543.099895962,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,11718150.580045134,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,11732829.380796442,0.1
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,11735683.632199144,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,11738325.323149499,0.1
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,11747595.586277781,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,11750201.843137445,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,11798707.60574043,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,11827554.115454897,0.1
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,11846628.381119143,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,11900285.489276217,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,11911622.084551044,0.0
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,11913501.906346163,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,11919573.222337406,0.1
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,11924210.54178397,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,11969576.500122584,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,11970424.988799725,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,11993725.205355151,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,12000572.955158439,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,12013994.717062131,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,12023496.755874718,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,12042244.650206868,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,12043740.310666285,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,12068543.004901415,0.1
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,12069561.154532336,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,12091746.023821102,0.1
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,12095638.289546859,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,12095638.289546859,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,12167282.867837245,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,12195192.001967696,0.0
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,12203148.723205922,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,12275536.013874631,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,12324446.789547477,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,12426694.909697857,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,12441569.031118572,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,12446310.228625679,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,12455742.853184365,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,12461794.075800464,0.1
