猛听的金鼓响画角声震,0,猛听得金鼓响画角声震，
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,8977347.1215803958,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,9004587.2201437112,0.1
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,9011489.3742678259,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,9045141.1442312934,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,9097636.605836615,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,9100003.8214429189,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,9107814.2727059443,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,9135946.9448439404,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,9136236.509937657,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,9153823.833721647,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,9180093.0946030691,0.1
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,9190523.2052862681,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,9193746.1863662582,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,9197622.4713584259,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,9208590.8125376496,0.1
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,9209822.5638616383,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,9298375.1590999868,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,9356455.4428327233,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,9364010.0365363732,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,9417695.225729404,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,9430075.7940715402,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,9437859.1152329762,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,9461898.9806668498,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,9478888.550766794,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,9507166.3960059583,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,9540207.3326936848,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,9544906.6152813863,0.1
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,9592387.6299058981,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,9594047.0195693541,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,9617732.9014005978,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,9621708.880581744,0.0
